stim_id,block,stim,group,group_note
1,0,10,1,小于50
2,0,11,1,小于50
3,0,12,1,小于50
4,0,13,1,小于50
5,1,14,1,小于50
6,1,15,1,小于50
7,1,16,1,小于50
8,1,17,1,小于50
9,1,18,1,小于50
10,1,19,1,小于50
11,2,20,1,小于50
12,2,21,1,小于50
13,2,22,1,小于50
14,2,23,1,小于50
15,2,24,1,小于50
16,2,25,1,小于50
17,3,26,1,小于50
18,3,27,1,小于50
19,3,28,1,小于50
20,3,29,1,小于50
21,3,30,1,小于50
22,3,31,1,小于50
23,4,32,1,小于50
24,4,33,1,小于50
25,4,34,1,小于50
26,4,35,1,小于50
27,4,36,1,小于50
28,4,37,1,小于50
29,5,38,1,小于50
30,5,39,1,小于50
31,5,40,1,小于50
32,5,41,1,小于50
33,5,42,1,小于50
34,5,43,1,小于50
35,6,44,1,小于50
36,6,45,1,小于50
37,6,46,1,小于50
38,6,47,1,小于50
39,6,48,1,小于50
40,6,49,1,小于50
41,1,51,2,大于50
42,1,52,2,大于50
43,1,53,2,大于50
44,1,54,2,大于50
45,1,55,2,大于50
46,1,56,2,大于50
47,2,57,2,大于50
48,2,58,2,大于50
49,2,59,2,大于50
50,2,60,2,大于50
51,2,61,2,大于50
52,2,62,2,大于50
53,3,63,2,大于50
54,3,64,2,大于50
55,3,65,2,大于50
56,3,66,2,大于50
57,3,67,2,大于50
58,3,68,2,大于50
59,4,69,2,大于50
60,4,70,2,大于50
61,4,71,2,大于50
62,4,72,2,大于50
63,4,73,2,大于50
64,4,74,2,大于50
65,5,75,2,大于50
66,5,76,2,大于50
67,5,77,2,大于50
68,5,78,2,大于50
69,5,79,2,大于50
70,5,80,2,大于50
71,6,81,2,大于50
72,6,82,2,大于50
73,6,83,2,大于50
74,6,84,2,大于50
75,6,85,2,大于50
76,6,86,2,大于50
77,0,87,2,大于50
78,0,88,2,大于50
79,0,89,2,大于50
80,0,90,2,大于50
81,0,91,2,大于50
82,0,92,2,大于50
83,0,93,2,大于50
84,0,94,2,大于50
