stim_id,block,stim,group,group_note
1,0,0.77-0.56,1,第一象限
2,0,0.86-0.50,1,第一象限
3,0,1.00-0.32,1,第一象限
4,1,0.86-0.68,1,第一象限
5,1,0.82-0.45,1,第一象限
6,1,0.82-0.64,1,第一象限
7,2,0.84-0.52,1,第一象限
8,2,0.82-0.46,1,第一象限
9,2,0.99-0.73,1,第一象限
10,3,0.68-0.50,1,第一象限
11,3,0.84-0.59,1,第一象限
12,3,0.96-0.55,1,第一象限
13,4,0.88-0.38,1,第一象限
14,4,0.86-0.54,1,第一象限
15,4,0.71-0.51,1,第一象限
16,5,0.98-0.40,1,第一象限
17,5,0.75-0.41,1,第一象限
18,5,0.98-0.81,1,第一象限
19,6,0.99-0.68,1,第一象限
20,6,0.69-0.53,1,第一象限
21,6,0.99-0.78,1,第一象限
22,0,0.71-0.94,2,第二象限
23,0,0.47-0.74,2,第二象限
24,0,0.37-0.93,2,第二象限
25,1,0.67-0.83,2,第二象限
26,1,0.54-0.85,2,第二象限
27,1,0.52-0.67,2,第二象限
28,2,0.52-0.89,2,第二象限
29,2,0.69-0.88,2,第二象限
30,2,0.55-0.77,2,第二象限
31,3,0.38-0.91,2,第二象限
32,3,0.51-0.90,2,第二象限
33,3,0.61-0.90,2,第二象限
34,4,0.66-0.89,2,第二象限
35,4,0.42-0.86,2,第二象限
36,4,0.39-0.84,2,第二象限
37,5,0.59-0.98,2,第二象限
38,5,0.63-0.85,2,第二象限
39,5,0.73-0.98,2,第二象限
40,6,0.34-0.91,2,第二象限
41,6,0.57-0.85,2,第二象限
42,6,0.61-0.88,2,第二象限
43,0,0.07-0.45,3,第三象限
44,0,0.12-0.37,3,第三象限
45,0,0.06-0.32,3,第三象限
46,1,0.06-0.27,3,第三象限
47,1,0.23-0.51,3,第三象限
48,1,0.14-0.51,3,第三象限
49,2,0.20-0.60,3,第三象限
50,2,0.12-0.52,3,第三象限
51,2,0.27-0.48,3,第三象限
52,3,0.00-0.25,3,第三象限
53,3,0.10-0.28,3,第三象限
54,3,0.12-0.48,3,第三象限
55,4,0.00-0.31,3,第三象限
56,4,0.14-0.56,3,第三象限
57,4,0.13-0.55,3,第三象限
58,5,0.26-0.55,3,第三象限
59,5,0.09-0.48,3,第三象限
60,5,0.02-0.65,3,第三象限
61,6,0.07-0.76,3,第三象限
62,6,0.00-0.66,3,第三象限
63,6,0.00-0.68,3,第三象限
64,0,0.39-0.12,4,第四象限
65,0,0.56-0.04,4,第四象限
66,0,0.43-0.06,4,第四象限
67,1,0.78-0.00,4,第四象限
68,1,0.68-0.11,4,第四象限
69,1,0.55-0.11,4,第四象限
70,2,0.72-0.11,4,第四象限
71,2,0.57-0.05,4,第四象限
72,2,0.54-0.07,4,第四象限
73,3,0.56-0.09,4,第四象限
74,3,0.44-0.02,4,第四象限
75,3,0.65-0.09,4,第四象限
76,4,0.72-0.09,4,第四象限
77,4,0.30-0.10,4,第四象限
78,4,0.58-0.19,4,第四象限
79,5,0.45-0.21,4,第四象限
80,5,0.56-0.20,4,第四象限
81,5,0.66-0.10,4,第四象限
82,6,0.42-0.02,4,第四象限
83,6,0.37-0.15,4,第四象限
84,6,0.79-0.06,4,第四象限
